Q.No,Answers
1,C
2,C
3,N
4,C
5,N
6,C
7,W
8,N
9,N
10,W
11,W
12,N
13,N
14,N
15,N
16,C
17,N
18,N
19,C
20,N
21,N
22,C
23,C
24,N
25,N
26,N
27,N
28,N
29,C
30,C
31,W
32,N
33,N
34,W
35,C
36,N
37,C
38,W
39,C
40,C
41,N
42,C
43,C
44,C
45,C
46,W
47,W
48,C
49,W
50,W
51,C
52,C
53,N
54,W
55,C
56,W
57,W
58,C
59,W
60,C
61,N
62,C
63,W
64,N
65,C
66,N
67,W
68,C
69,C
70,W
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,C
82,C
83,C
84,W
85,C
86,C
87,C
88,C
89,C
90,C
91,C
92,C
93,C
94,C
95,C
96,C
97,C
98,C
99,C
100,C
